C,threshold,F2,Recall,Precision,Balanced_Accuracy
0.001,0.1,0.0041,0.0033,1.0,0.5017
0.001,0.15,0.0285,0.0231,0.4118,0.5103
0.001,0.2,0.1132,0.0957,0.4203,0.5429
0.001,0.25,0.226,0.2079,0.3462,0.5893
0.001,0.3,0.2846,0.2904,0.2635,0.6149
0.001,0.35,0.342,0.3894,0.23,0.6461
0.001,0.4,0.413,0.5281,0.2207,0.6944
0.001,0.45,0.4309,0.6172,0.1952,0.7136
0.001,0.5,0.445,0.7129,0.1778,0.7333
0.001,0.55,0.4403,0.7855,0.1596,0.7384
0.001,0.6,0.4248,0.8581,0.1407,0.7334
0.001,0.65,0.3866,0.8878,0.1187,0.6977
0.001,0.7,0.359,0.9307,0.1038,0.6654
0.001,0.75,0.3225,0.967,0.088,0.6092
0.001,0.8,0.2927,0.9835,0.0768,0.5506
0.001,0.85,0.2779,1.0,0.0715,0.515
0.001,0.9,0.272,1.0,0.0695,0.5005
0.01,0.1,0.1179,0.099,0.5,0.5458
0.01,0.15,0.2141,0.1947,0.3554,0.5842
0.01,0.2,0.2924,0.2937,0.2871,0.6196
0.01,0.25,0.3472,0.3795,0.259,0.6492
0.01,0.3,0.4068,0.4851,0.2471,0.6874
0.01,0.35,0.4248,0.5446,0.226,0.7027
0.01,0.4,0.4407,0.6106,0.2086,0.7188
0.01,0.45,0.4527,0.6733,0.196,0.7335
0.01,0.5,0.4439,0.7129,0.1769,0.7326
0.01,0.55,0.4609,0.7822,0.1744,0.7528
0.01,0.6,0.4648,0.8416,0.1666,0.7636
0.01,0.65,0.4469,0.8713,0.1515,0.7535
0.01,0.7,0.4262,0.8977,0.1374,0.7385
0.01,0.75,0.3956,0.9142,0.121,0.7092
0.01,0.8,0.3634,0.9307,0.1057,0.6714
0.01,0.85,0.3334,0.9769,0.0917,0.6273
0.01,0.9,0.2944,0.9967,0.0771,0.5529
0.1,0.1,0.1855,0.1617,0.4495,0.5735
0.1,0.15,0.2597,0.2508,0.3028,0.6039
0.1,0.2,0.3125,0.3267,0.2661,0.6297
0.1,0.25,0.3653,0.4125,0.2505,0.6602
0.1,0.3,0.4131,0.5083,0.2362,0.6928
0.1,0.35,0.4309,0.5677,0.2194,0.7084
0.1,0.4,0.4488,0.6304,0.2085,0.7259
0.1,0.45,0.4545,0.6799,0.1954,0.7354
0.1,0.5,0.4636,0.736,0.1869,0.7485
0.1,0.55,0.4655,0.7888,0.1764,0.7569
0.1,0.6,0.4624,0.8284,0.1671,0.7601
0.1,0.65,0.4512,0.8581,0.1558,0.7554
0.1,0.7,0.4368,0.8878,0.1441,0.747
0.1,0.75,0.4131,0.9142,0.1294,0.7274
0.1,0.8,0.384,0.9241,0.115,0.6966
0.1,0.85,0.3556,0.9538,0.1014,0.6612
0.1,0.9,0.3163,0.9835,0.0852,0.5973
0.5,0.1,0.191,0.1683,0.4146,0.5753
0.5,0.15,0.2736,0.2673,0.3022,0.6106
0.5,0.2,0.3166,0.3333,0.2637,0.6319
0.5,0.25,0.3659,0.4158,0.2471,0.6606
0.5,0.3,0.4111,0.5083,0.233,0.6917
0.5,0.35,0.436,0.5776,0.2201,0.7124
0.5,0.4,0.4507,0.6337,0.2092,0.7274
0.5,0.45,0.4606,0.6898,0.1977,0.7404
0.5,0.5,0.4595,0.7261,0.1861,0.7445
0.5,0.55,0.4657,0.7888,0.1765,0.757
0.5,0.6,0.4634,0.8284,0.1678,0.7608
0.5,0.65,0.4519,0.8581,0.1562,0.7559
0.5,0.7,0.4377,0.8878,0.1445,0.7477
0.5,0.75,0.4139,0.9109,0.1301,0.728
0.5,0.8,0.3861,0.9241,0.116,0.6991
0.5,0.85,0.3579,0.9505,0.1024,0.6643
0.5,0.9,0.3188,0.9802,0.0862,0.6021
1.0,0.1,0.1907,0.1683,0.408,0.575
1.0,0.15,0.2703,0.264,0.2985,0.6088
1.0,0.2,0.3227,0.3399,0.2682,0.6353
1.0,0.25,0.3652,0.4158,0.2456,0.6602
1.0,0.3,0.4109,0.5083,0.2326,0.6915
1.0,0.35,0.4347,0.5776,0.2185,0.7116
1.0,0.4,0.4535,0.637,0.2107,0.7294
1.0,0.45,0.4616,0.6898,0.1987,0.741
1.0,0.5,0.4595,0.7261,0.1861,0.7445
1.0,0.55,0.4657,0.7888,0.1765,0.757
1.0,0.6,0.4636,0.8284,0.1679,0.7609
1.0,0.65,0.4522,0.8581,0.1563,0.7562
1.0,0.7,0.4374,0.8878,0.1444,0.7475
1.0,0.75,0.4124,0.9076,0.1296,0.7262
1.0,0.8,0.387,0.9241,0.1164,0.7001
1.0,0.85,0.3579,0.9505,0.1025,0.6644
1.0,0.9,0.3197,0.9802,0.0865,0.6037
5.0,0.1,0.1906,0.1683,0.4048,0.5749
5.0,0.15,0.2731,0.2673,0.2989,0.6103
5.0,0.2,0.3223,0.3399,0.2668,0.6351
5.0,0.25,0.3646,0.4158,0.2442,0.6599
5.0,0.3,0.4107,0.5083,0.2323,0.6914
5.0,0.35,0.4347,0.5776,0.2185,0.7116
5.0,0.4,0.4518,0.6337,0.2103,0.728
5.0,0.45,0.4616,0.6898,0.1987,0.741
5.0,0.5,0.4595,0.7261,0.1861,0.7445
5.0,0.55,0.4655,0.7888,0.1764,0.7569
5.0,0.6,0.4634,0.8284,0.1678,0.7608
5.0,0.65,0.4519,0.8581,0.1562,0.7559
5.0,0.7,0.4378,0.8878,0.1446,0.7479
5.0,0.75,0.4133,0.9076,0.13,0.7271
5.0,0.8,0.3868,0.9241,0.1163,0.7
5.0,0.85,0.3578,0.9472,0.1025,0.6641
5.0,0.9,0.3205,0.9802,0.0868,0.6052
10.0,0.1,0.1906,0.1683,0.4048,0.5749
10.0,0.15,0.2701,0.264,0.2974,0.6087
10.0,0.2,0.3221,0.3399,0.2661,0.635
10.0,0.25,0.365,0.4158,0.2451,0.6601
10.0,0.3,0.4104,0.5083,0.2319,0.6913
10.0,0.35,0.4345,0.5776,0.2182,0.7115
10.0,0.4,0.4516,0.6337,0.2101,0.7279
10.0,0.45,0.4616,0.6898,0.1987,0.741
10.0,0.5,0.4585,0.7261,0.1853,0.7439
10.0,0.55,0.4661,0.7888,0.1768,0.7573
10.0,0.6,0.4634,0.8284,0.1678,0.7608
10.0,0.65,0.4519,0.8581,0.1562,0.7559
10.0,0.7,0.4378,0.8878,0.1446,0.7479
10.0,0.75,0.4135,0.9076,0.1301,0.7273
10.0,0.8,0.3868,0.9241,0.1163,0.7
10.0,0.85,0.3588,0.9505,0.1028,0.6656
10.0,0.9,0.3204,0.9802,0.0868,0.6049
50.0,0.1,0.1906,0.1683,0.4048,0.5749
50.0,0.15,0.2731,0.2673,0.2989,0.6103
50.0,0.2,0.3221,0.3399,0.2661,0.635
50.0,0.25,0.3652,0.4158,0.2456,0.6602
50.0,0.3,0.4104,0.5083,0.2319,0.6913
50.0,0.35,0.4347,0.5776,0.2185,0.7116
50.0,0.4,0.4518,0.6337,0.2103,0.728
50.0,0.45,0.4622,0.6898,0.1992,0.7414
50.0,0.5,0.457,0.7228,0.185,0.7425
50.0,0.55,0.4659,0.7888,0.1766,0.7571
50.0,0.6,0.4634,0.8284,0.1678,0.7608
50.0,0.65,0.452,0.8581,0.1562,0.7561
50.0,0.7,0.4377,0.8878,0.1445,0.7477
50.0,0.75,0.4133,0.9076,0.13,0.7271
50.0,0.8,0.3866,0.9241,0.1162,0.6997
50.0,0.85,0.3577,0.9472,0.1025,0.664
50.0,0.9,0.3204,0.9802,0.0868,0.6049
100.0,0.1,0.1903,0.1683,0.3984,0.5747
100.0,0.15,0.2731,0.2673,0.2989,0.6103
100.0,0.2,0.3191,0.3366,0.2642,0.6333
100.0,0.25,0.3654,0.4158,0.2461,0.6604
100.0,0.3,0.4104,0.5083,0.2319,0.6913
100.0,0.35,0.4345,0.5776,0.2182,0.7115
100.0,0.4,0.4516,0.6337,0.2101,0.7279
100.0,0.45,0.4618,0.6898,0.1989,0.7411
100.0,0.5,0.457,0.7228,0.185,0.7425
100.0,0.55,0.4655,0.7888,0.1764,0.7569
100.0,0.6,0.4634,0.8284,0.1678,0.7608
100.0,0.65,0.452,0.8581,0.1562,0.7561
100.0,0.7,0.4384,0.8878,0.1449,0.7484
100.0,0.75,0.4135,0.9076,0.1301,0.7273
100.0,0.8,0.3868,0.9241,0.1163,0.7
100.0,0.85,0.3578,0.9472,0.1025,0.6641
100.0,0.9,0.3205,0.9802,0.0868,0.6051
